Account No,Year,Annual Expense,Annual Income,End of Year Balance
101531259.0,2023,-17627.58,16967.5,227.9720999999995
104832000.0,2023,-25115.52,20550.0,-3185.524858905844
105375973.0,2023,-10067.279999999999,9000.0,509.3096528189405
106601471.0,2023,-7760.01,18425.0,11920.401862653182
108481285.0,2023,-15062.28,25104.0,10704.071829999568
108563213.0,2023,-16493.64,41239.0,26334.35497222293
108812033.0,2023,-9641.1,9130.0,717.0645999999981
108931112.0,2023,-38492.43,53519.0,16502.503088505637
111137699.0,2023,-21786.870000000003,20100.0,-79.90454999999929
113747882.0,2023,-16186.61,28425.0,13639.40388862525
116169597.0,2023,-17932.51,19217.5,1790.0269499999995
116598243.0,2023,-21076.01,22872.0,3634.474221777451
117273481.0,2023,-26986.34,37136.0,10921.647052867636
117308635.0,2023,-16111.150000000001,17550.0,2175.931176555349
119943495.0,2023,-7128.969999999999,4400.0,-1347.917562112858
119993184.0,2023,-24054.699999999997,20544.0,-2234.6744029108613
120634201.0,2023,-23335.65,28611.0,6126.390521925363
121113546.0,2023,-7866.350000000001,5250.0,-1144.3468439301305
121858569.0,2023,-40907.25,41250.0,1900.791150000002
122884111.0,2023,-18326.809999999998,15180.0,-1958.9585830729688
124102251.0,2023,-23017.96,22999.199999999993,1274.3196680143317
124125096.0,2023,-34396.84,32709.92,254.1084443878018
124377686.0,2023,-3899.7999999999997,0.0,-3074.7873999999965
126929801.0,2023,-19518.41,20267.5,2591.158819212564
127809299.0,2023,-10701.240000000002,12060.0,2576.975771126573
128030172.0,2023,-4525.339999999999,3360.0,-623.3421274498501
128033695.0,2023,-17764.440000000002,19441.199999999997,2625.9024201137545
129018172.0,2023,-22929.09,32442.59999999999,10401.049468025863
130154096.0,2023,-30991.45,30668.0,1038.5328328480243
130522384.0,2023,-23261.059999999998,20843.04,-448.0138156208604
131388684.0,2023,-28334.420000000002,52500.0,24809.806084551117
132400709.0,2023,-5182.699999999999,4070.0,714.4670351539396
133755851.0,2023,-34923.340000000004,34848.0,660.689248138252
134461671.0,2023,-36566.479999999996,41250.0,6341.531001320822
134847904.0,2023,-43921.62,45309.0,3318.7619834790694
135937041.0,2023,-25445.88,23316.0,-547.390348268412
136770968.0,2023,-7702.859999999999,6820.0,-135.34080000000046
137822385.0,2023,-29769.03,33276.0,4272.025703161885
137913631.0,2023,-28518.15,28632.0,1696.9082499999995
138351025.0,2023,-18968.840000000004,18425.0,-587.8763500000005
138609932.0,2023,-6756.780000000001,8010.0,1988.2040032945856
138969884.0,2023,-19248.410000000003,19152.0,625.5848999999995
140893085.0,2023,-15395.86,22999.199999999993,7895.613056365462
141521177.0,2023,-25658.109999999993,33000.0,7967.919900000015
142791593.0,2023,-20490.070000000003,19650.0,-41.08530000000036
143003091.0,2023,-21194.94,32098.0,12589.331013557226
143061865.0,2023,-20141.18,27599.0,8033.846634939098
143383029.0,2023,-8598.349999999999,6500.0,-1131.3359193476613
143606916.0,2023,-9991.82,8880.0,395.8453540291896
145387690.0,2023,-21121.39,26590.0,6198.162708345381
145553416.0,2023,-3437.89,0.0,-2909.8931499999976
146686559.0,2023,-22598.98,20100.0,-654.876911173478
146909202.0,2023,-27102.71,29397.0,4562.404575783505
147341222.0,2023,-8506.48,4840.0,-1950.4778753207956
147474476.0,2023,-34935.009999999995,37500.0,3622.014859120132
147508204.0,2023,-9881.210000000001,8880.0,315.01471778188653
149684419.0,2023,-14951.33,14520.0,1411.606799999998
151278285.0,2023,-32537.86,32840.0,1321.1211499999995
151916463.0,2023,-18890.65,18425.0,1188.177555599169
151968462.0,2023,-32803.659999999996,40512.0,8946.481461960946
152488934.0,2023,-31090.850000000002,31777.199999999993,2545.127157313732
152616936.0,2023,-14782.329999999998,15230.0,1131.7120078630646
154246234.0,2023,-22479.28,20472.0,-851.2951078978956
155317149.0,2023,-8212.060000000001,6980.0,-891.9885000000011
155867488.0,2023,-14276.25,13580.0,227.78669999999832
158414827.0,2023,-23115.510000000002,20009.0,-1527.540000000002
158766229.0,2023,-7368.24,5160.0,-556.26388589347
160166876.0,2023,-9493.66,9720.0,916.3300405862434
162162212.0,2023,-26729.9,25470.0,-447.358956672691
162370388.0,2023,-22791.83,18425.0,-2494.8503999999984
163470640.0,2023,-24707.02,24904.0,914.9322999999996
165045150.0,2023,-14394.42,13080.0,-556.7514385971443
165098840.0,2023,-10615.91,8290.0,-754.9131263623731
165691047.0,2023,-20371.21,20267.5,439.62829999999866
166019891.0,2023,-23528.670000000002,32087.0,9482.47105076686
168414279.0,2023,-8679.54,7480.0,209.4747842749213
169006407.0,2023,-22122.700000000004,34440.0,13234.901783182886
169689461.0,2023,-25720.35,25003.0,978.643149999999
170233640.0,2023,-6961.93,5320.0,-716.9016100501027
170637730.0,2023,-23505.2,24252.0,1772.473201280178
172084472.0,2023,-36423.939999999995,34796.0,-1121.9407215957183
173317688.0,2023,-3964.2200000000003,0.0,-2568.201234884283
173335108.0,2023,-17017.1,16600.0,1282.904000000001
175452235.0,2023,-20338.12,17990.0,-606.3257499999996
176922958.0,2023,-23091.500000000004,24252.0,2360.5325471976503
179173981.0,2023,-16386.520000000004,20075.0,4459.4804211475775
180616589.0,2023,-20586.02,20796.0,1574.6108282361097
180719578.0,2023,-5373.6,0.0,-4765.577749999993
183186021.0,2023,-13004.28,12060.0,-321.2200499999989
183546640.0,2023,-22694.67,22110.0,288.3406973477338
183888402.0,2023,-29991.660000000003,50004.0,20811.415741948887
184430449.0,2023,-26597.43,28600.0,3533.55633239109
187111705.0,2023,-30080.75,36666.630000000005,7678.106332690096
187541224.0,2023,-26418.050000000003,27600.0,2773.934627433773
188263947.0,2023,-38802.869999999995,35430.0,600.3660500000008
189335192.0,2023,-24666.97,22110.0,-1220.6507017578606
189757473.0,2023,-3995.9499999999994,0.0,-2432.963649999999
190874125.0,2023,-1727.6100000000001,0.0,133.39301421356726
191161970.0,2023,-5797.390000000001,0.0,-4325.280999999993
191992682.0,2023,-4835.1,0.0,-3034.0914602920625
192202372.0,2023,-19097.2,17710.0,219.83608751722232
194023154.0,2023,-3784.4399999999996,0.0,-2860.832171784732
194745206.0,2023,-18403.629999999997,16080.0,-498.5906279087568
195895574.0,2023,-15930.81,22231.0,7788.028124553097
196289502.0,2023,-20261.67,37136.0,18234.753041109903
197050303.0,2023,-19983.02000000001,18425.0,254.33943256349497
197779140.0,2023,-3885.55,2040.0,-449.5477000000004
197865285.0,2023,-35044.55,34440.0,432.3933117312204
198051483.0,2023,-20844.159999999996,18510.0,-787.1019104088573
198630866.0,2023,-5898.83,4330.0,-679.8267735612685
198946608.0,2023,-19950.120000000003,24000.0,4654.112882807986
199016328.0,2023,-26226.79,30820.0,6467.201035099075
200080192.0,2023,-24987.83,33600.0,9773.744708105472
202320275.0,2023,-6268.38,4730.0,-844.3985500000006
203466392.0,2023,-33188.89,34099.92,2651.441696095524
204855464.0,2023,-25974.78,22092.599999999995,-882.5477886396163
208381936.0,2023,-11271.64,9880.0,-682.6755782217451
211493028.0,2023,-8263.27,9000.0,1425.731449999999
212560376.0,2023,-9280.369999999999,7250.0,-134.41287422089783
213096759.0,2023,-7972.4400000000005,5160.0,-1299.4191082144391
213112754.0,2023,-28181.690000000002,34440.0,6535.148770299568
213930646.0,2023,-4257.4299999999985,2100.0,-1550.4445634725632
214339619.0,2023,-24264.16,22999.199999999993,-31.96463583011267
214765415.0,2023,-10980.57,9180.0,-573.5606488501354
215311171.0,2023,-14199.48,18528.0,6088.249923382263
215404070.0,2023,-10406.400000000001,10000.0,656.8375891798496
215426302.0,2023,-23370.230000000003,20267.5,309.670404025692
215832575.0,2023,-21648.53,18425.0,-1307.54196374422
216285378.0,2023,-15552.89,40512.0,26274.17211352841
216286013.0,2023,-8542.16,7370.0,-25.12632345486658
217540156.0,2023,-4974.219999999999,0.0,-3811.232319999993
218795010.0,2023,-19315.64,18465.0,-127.1737500000006
219399150.0,2023,-1976.0400000000002,0.0,-986.0225269529268
220183538.0,2023,-32088.98,32670.0,1029.5735999999995
221356538.0,2023,-18033.59,18425.0,990.6313999999996
221868392.0,2023,-26731.25,30470.0,5502.831091927804
223207876.0,2023,-20540.46,19060.0,-388.6703999999995
224112146.0,2023,-9882.89,9130.0,478.05979999999965
224215364.0,2023,-3722.92,0.0,-1984.925092088279
224524792.0,2023,-4061.86,0.0,-2426.833182430848
225210798.0,2023,-24089.29,23350.0,1035.275317359389
226703987.0,2023,-24157.78,25282.0,2327.2601365470746
