Account No,Month,Monthly Expense,Monthly Income,End of Month Balance
101531259.0,2023-01,-2241.03,1542.5,-574.52205
101531259.0,2023-02,-1223.3700000000001,1542.5,-311.39325
101531259.0,2023-03,-1146.01,1542.5,85.0950499999999
101531259.0,2023-04,-1410.6100000000001,1542.5,216.98569999999995
101531259.0,2023-05,-1369.06,1542.5,390.41759999999977
101531259.0,2023-06,-1881.3200000000002,1542.5,12.633149999999674
101531259.0,2023-07,-1220.93,1542.5,334.2077999999997
101531259.0,2023-08,-1854.3600000000001,1542.5,22.347849999999667
101531259.0,2023-09,-1251.04,1542.5,313.8067999999996
101531259.0,2023-10,-1770.9900000000002,1542.5,85.32469999999967
101531259.0,2023-11,-1238.8799999999999,1542.5,388.9520999999995
101531259.0,2023-12,-1019.98,0.0,227.9720999999995
104832000.0,2023-01,-3780.83,1675.0,88.17974109415445
104832000.0,2023-02,-2444.87,1965.0,-391.69985890584553
104832000.0,2023-03,-2152.5099999999998,1675.0,-869.2138089058456
104832000.0,2023-04,-2178.2599999999993,1675.0,-1372.4781089058454
104832000.0,2023-05,-2188.1699999999996,1835.0,-1725.6448589058457
104832000.0,2023-06,-1953.26,1675.0,-2003.9098589058456
104832000.0,2023-07,-1912.3,1675.0,-2241.204858905845
104832000.0,2023-08,-2028.54,1675.0,-2594.7398589058444
104832000.0,2023-09,-1900.7,1675.0,-2820.439858905844
104832000.0,2023-10,-1821.43,1675.0,-2966.872358905844
104832000.0,2023-11,-1857.5900000000001,1675.0,-3149.4648589058443
104832000.0,2023-12,-897.06,1675.0,-3185.524858905844
105375973.0,2023-01,-762.37,900.0,840.6347536954172
105375973.0,2023-02,-1106.7,900.0,633.9383980306519
105375973.0,2023-03,-1792.9099999999999,900.0,-258.9383471810597
105375973.0,2023-04,-187.17000000000002,900.0,453.89165281894026
105375973.0,2023-05,-1510.13,0.0,-156.23434718105963
105375973.0,2023-06,-233.29000000000002,900.0,483.9856528189404
105375973.0,2023-07,-1296.6499999999999,900.0,87.34165281894046
105375973.0,2023-08,-364.52000000000004,900.0,622.8216528189403
105375973.0,2023-09,-2211.2899999999995,900.0,-688.4403471810595
105375973.0,2023-10,-205.35000000000002,900.0,6.209652818940555
105375973.0,2023-11,-330.73,900.0,575.4796528189405
105375973.0,2023-12,-66.17,0.0,509.3096528189405
106601471.0,2023-01,-709.01,1675.0,2452.984500599716
106601471.0,2023-02,-1326.0800000000002,1675.0,2801.904539911996
106601471.0,2023-03,-481.76000000000005,1675.0,3995.147539911996
106601471.0,2023-04,-541.99,1675.0,5128.159539911998
106601471.0,2023-05,-250.95000000000005,1675.0,6552.215495785277
106601471.0,2023-06,-869.1800000000001,1675.0,7358.0346149154675
106601471.0,2023-07,-655.32,1675.0,8377.715461808413
106601471.0,2023-08,-432.66,1675.0,9620.06462252991
106601471.0,2023-09,-770.6600000000001,1675.0,10308.796376068973
106601471.0,2023-10,-554.71,1675.0,11429.09461466168
106601471.0,2023-11,-1015.44,1675.0,12072.645671464828
106601471.0,2023-12,-152.25,0.0,11920.401862653182
108481285.0,2023-01,-766.3600000000001,2864.0,2833.6429710968323
108481285.0,2023-02,-820.4100000000001,2224.0,4237.232231733142
108481285.0,2023-03,-1873.0,2224.0,4588.236178876511
108481285.0,2023-04,-1107.04,2224.0,5705.210355248276
108481285.0,2023-05,-897.32,2224.0,7031.884866169262
108481285.0,2023-06,-893.6600000000001,2224.0,8362.22432098727
108481285.0,2023-07,-1341.66,2224.0,9236.58691826256
108481285.0,2023-08,-2999.8,2224.0,8460.772685432135
108481285.0,2023-09,-1896.8400000000001,2224.0,8787.914879696249
108481285.0,2023-10,-907.66,2224.0,10041.386506313524
108481285.0,2023-11,-1430.09,2224.0,10835.318948995391
108481285.0,2023-12,-128.44,0.0,10704.071829999568
108563213.0,2023-01,-1666.14,3749.0,3671.861701542105
108563213.0,2023-02,-621.85,3749.0,6799.0135086981645
108563213.0,2023-03,-1963.0800000000002,3749.0,8584.940151307148
108563213.0,2023-04,-712.05,3749.0,11621.898606713088
108563213.0,2023-05,-623.7500000000001,3749.0,14747.15038197918
108563213.0,2023-06,-1258.42,3749.0,17237.727667730327
108563213.0,2023-07,-2029.65,3749.0,18957.09136319608
108563213.0,2023-08,-1348.26,3749.0,21357.840252889604
108563213.0,2023-09,-1445.06,3749.0,23661.78071056486
108563213.0,2023-10,-1461.52,3749.0,25949.24070262165
108563213.0,2023-11,-3095.7299999999996,3749.0,26602.486404770523
108563213.0,2023-12,-268.13,0.0,26334.35497222293
108812033.0,2023-01,-1353.61,830.0,866.3879499999996
108812033.0,2023-02,-836.5100000000001,830.0,859.8724499999996
108812033.0,2023-03,-865.79,830.0,824.0896499999994
108812033.0,2023-04,-867.0899999999999,830.0,787.0007499999992
108812033.0,2023-05,-726.4200000000001,830.0,796.3067999999992
108812033.0,2023-06,-837.9200000000001,830.0,788.381899999999
108812033.0,2023-07,-780.5899999999999,830.0,837.7899999999988
108812033.0,2023-08,-909.95,830.0,757.8392499999986
108812033.0,2023-09,-743.5200000000001,830.0,844.3156499999984
108812033.0,2023-10,-843.8100000000001,830.0,830.5162499999983
108812033.0,2023-11,-772.85,830.0,820.1063499999982
108812033.0,2023-12,-103.04,0.0,717.0645999999981
108931112.0,2023-01,-2914.179999999999,5729.0,3399.825200000001
108931112.0,2023-02,-3254.169999999999,4779.0,4924.652600000003
108931112.0,2023-03,-2698.7599999999993,4779.0,7000.922350000006
108931112.0,2023-04,-3031.7599999999998,4779.0,8748.166700000007
108931112.0,2023-05,-2580.8199999999997,4779.0,10946.339150000009
108931112.0,2023-06,-3328.2699999999995,4779.0,12397.074567493326
108931112.0,2023-07,-3773.99,4779.0,13402.095469933773
108931112.0,2023-08,-5073.109999999999,4779.0,13107.963237426307
108931112.0,2023-09,-3655.8999999999996,4779.0,14231.073154795788
108931112.0,2023-10,-3423.109999999999,4779.0,15586.964030715972
108931112.0,2023-11,-3397.9700000000003,4779.0,16926.89320698168
108931112.0,2023-12,-1360.3899999999999,0.0,16502.503088505637
111137699.0,2023-01,-3017.0599999999995,1675.0,1244.93395
111137699.0,2023-02,-2997.26,1675.0,-77.3245499999998
111137699.0,2023-03,-1563.23,1675.0,34.452750000000165
111137699.0,2023-04,-1743.3799999999999,1675.0,-33.93919999999978
111137699.0,2023-05,-1745.44,1675.0,-104.38564999999969
111137699.0,2023-06,-1629.88,1675.0,-59.26774999999951
111137699.0,2023-07,-1684.93,1675.0,-69.19289999999954
111137699.0,2023-08,-1708.06,1675.0,-102.24454999999963
111137699.0,2023-09,-1597.83,1675.0,-25.079499999999577
111137699.0,2023-10,-1696.1200000000001,1675.0,-46.2006999999994
111137699.0,2023-11,-1743.68,1675.0,-114.88454999999928
111137699.0,2023-12,-660.0,1675.0,-79.90454999999929
113747882.0,2023-01,-1157.04,3675.0,3918.964750000001
113747882.0,2023-02,-1128.1299999999999,2475.0,5265.840150000004
113747882.0,2023-03,-1285.39,2475.0,6455.460572398989
113747882.0,2023-04,-1413.3100000000002,2475.0,7517.145690115328
113747882.0,2023-05,-1953.1799999999998,2475.0,8038.968453496595
113747882.0,2023-06,-1692.2,2475.0,8821.76668808995
113747882.0,2023-07,-1614.3600000000001,2475.0,9682.408310919314
113747882.0,2023-08,-1121.9,2475.0,11035.489503526418
113747882.0,2023-09,-1026.85,2475.0,12483.625752312471
113747882.0,2023-10,-1436.41,2475.0,13522.233251158268
113747882.0,2023-11,-2056.79,2475.0,13940.461829568572
113747882.0,2023-12,-301.05,0.0,13639.40388862525
116169597.0,2023-01,-1918.41,1742.5,386.0892
116169597.0,2023-02,-1205.52,1542.5,723.06265
116169597.0,2023-03,-1618.9500000000003,2192.5,1296.6211999999998
116169597.0,2023-04,-1034.9099999999999,1542.5,1804.21655
116169597.0,2023-05,-1173.9700000000003,1542.5,2172.75205
116169597.0,2023-06,-1464.8500000000001,1542.5,2250.405099999999
116169597.0,2023-07,-862.5000000000001,1542.5,2930.4165
116169597.0,2023-08,-4325.610000000001,1542.5,147.29594999999952
116169597.0,2023-09,-1650.45,2942.5,1439.3569499999996
116169597.0,2023-10,-1611.0,1542.5,1370.8489499999996
116169597.0,2023-11,-1002.38,1542.5,1853.9869499999995
116169597.0,2023-12,-63.959999999999994,0.0,1790.0269499999995
116598243.0,2023-01,-1909.21,1706.0,3500.78391009448
116598243.0,2023-02,-1262.94,1706.0,3943.828593199035
116598243.0,2023-03,-1883.49,1706.0,3645.3070351462593
116598243.0,2023-04,-1259.1900000000003,1706.0,4092.1037397593727
116598243.0,2023-05,-1866.39,1706.0,3931.699113581582
116598243.0,2023-06,-3952.7,2296.0,2242.127327756009
116598243.0,2023-07,-996.1700000000001,1706.0,2951.95632775601
116598243.0,2023-08,-2039.4599999999998,1706.0,2618.49932775601
116598243.0,2023-09,-1242.78,1706.0,3081.707776098891
116598243.0,2023-10,-4354.879999999999,3516.0,2237.2662217774505
116598243.0,2023-11,-246.93,1706.0,3696.3422217774514
116598243.0,2023-12,-61.87,1706.0,3634.474221777451
117273481.0,2023-01,-1502.25,3376.0,1863.7519
117273481.0,2023-02,-2659.31,3376.0,2580.431765143904
117273481.0,2023-03,-2208.54,3376.0,3747.89145537976
117273481.0,2023-04,-2224.3299999999995,3376.0,4893.542322803341
117273481.0,2023-05,-1855.3999999999999,3376.0,6414.145565512342
117273481.0,2023-06,-2289.84,3376.0,7500.328446904035
117273481.0,2023-07,-1926.85,3376.0,8949.481265629547
117273481.0,2023-08,-3791.55,3376.0,8533.945049737542
117273481.0,2023-09,-2379.47,3376.0,9530.479548378273
117273481.0,2023-10,-3239.66,3376.0,9563.94506533524
117273481.0,2023-11,-1713.05,3376.0,11226.8910387029
117273481.0,2023-12,-1196.0900000000001,0.0,10921.647052867636
117308635.0,2023-01,-1698.4299999999998,2400.0,1438.5762089488396
117308635.0,2023-02,-1300.8600000000001,1200.0,1337.723244810865
117308635.0,2023-03,-1153.77,1200.0,1383.9729344827626
117308635.0,2023-04,-1127.0100000000002,1200.0,1456.9745555316144
117308635.0,2023-05,-790.6,1200.0,1866.382735800171
117308635.0,2023-06,-1714.01,1200.0,1352.3725305770436
117308635.0,2023-07,-1614.4099999999999,2020.0,1757.9818829404696
117308635.0,2023-08,-1562.74,1200.0,1395.2314569870869
117308635.0,2023-09,-924.21,1200.0,1671.0229033866535
117308635.0,2023-10,-1365.56,1200.0,1505.4761014783392
117308635.0,2023-11,-2723.719999999999,3530.0,2311.760251786097
117308635.0,2023-12,-135.82999999999998,0.0,2175.931176555349
119943495.0,2023-01,-1651.9799999999998,400.0,150.0180878871421
119943495.0,2023-02,-562.9200000000001,400.0,-25.896762112857928
119943495.0,2023-03,-559.69,400.0,-185.574112112858
119943495.0,2023-04,-510.25000000000006,400.0,-295.825862112858
119943495.0,2023-05,-608.96,400.0,-504.7934621128579
119943495.0,2023-06,-537.7900000000001,400.0,-650.5783121128579
119943495.0,2023-07,-535.22,400.0,-785.7945621128581
119943495.0,2023-08,-591.22,400.0,-977.0185121128582
119943495.0,2023-09,-702.72,400.0,-1279.730062112858
119943495.0,2023-10,-471.51000000000005,400.0,-1351.220062112858
119943495.0,2023-11,-350.77000000000004,400.0,-1301.9825621128582
119943495.0,2023-12,-45.94,0.0,-1347.917562112858
119993184.0,2023-01,-3608.749999999999,1712.0,298.25269497758654
119993184.0,2023-02,-2183.0099999999993,1712.0,-172.74245291086208
119993184.0,2023-03,-1946.6200000000001,1712.0,-407.3616529108622
119993184.0,2023-04,-1943.83,1712.0,-639.2003529108624
119993184.0,2023-05,-1454.7400000000002,1712.0,-811.9423029108624
119993184.0,2023-06,-2062.0999999999995,1712.0,-1162.0333029108624
119993184.0,2023-07,-1999.5500000000002,1712.0,-1449.5699529108624
119993184.0,2023-08,-2066.2099999999996,1712.0,-1803.7844029108628
119993184.0,2023-09,-1906.98,1712.0,-1998.7694029108627
119993184.0,2023-10,-1802.3400000000001,1712.0,-2089.104402910862
119993184.0,2023-11,-1842.13,1712.0,-2219.231902910861
119993184.0,2023-12,-1238.44,1712.0,-2234.6744029108613
120634201.0,2023-01,-1638.6499999999999,2601.0,907.3582000000004
120634201.0,2023-02,-3177.3599999999997,2601.0,331.0160000000003
120634201.0,2023-03,-1449.0700000000002,2601.0,1482.9525000000003
120634201.0,2023-04,-1483.56,2601.0,2600.391100000001
120634201.0,2023-05,-1723.1100000000001,2601.0,3445.2872000000025
120634201.0,2023-06,-1431.5,2601.0,4614.783100000003
120634201.0,2023-07,-1881.7500000000002,2601.0,5334.031500000004
120634201.0,2023-08,-3052.15,2601.0,4882.881500000003
120634201.0,2023-09,-2668.2699999999995,2601.0,4815.623500000005
120634201.0,2023-10,-1743.44,2601.0,5673.185329403304
120634201.0,2023-11,-1934.01,2601.0,6340.16869192003
120634201.0,2023-12,-1152.7800000000002,0.0,6126.390521925363
121113546.0,2023-01,-903.93,820.0,1388.0687368748845
121113546.0,2023-02,-1503.1200000000001,620.0,504.9531560698699
121113546.0,2023-03,-560.4000000000001,410.0,354.5461560698699
121113546.0,2023-04,-458.03,410.0,306.5291560698698
121113546.0,2023-05,-571.28,410.0,145.25015606986983
121113546.0,2023-06,-412.05000000000007,410.0,143.19915606986982
121113546.0,2023-07,-278.97,410.0,274.2231560698698
121113546.0,2023-08,-263.41,410.0,420.81315606986976
121113546.0,2023-09,-511.11000000000007,410.0,319.7051560698697
121113546.0,2023-10,-432.93000000000006,410.0,296.7681560698697
121113546.0,2023-11,-428.32000000000005,410.0,278.45315606986964
121113546.0,2023-12,-1542.7999999999997,120.0,-1144.3468439301305
121858569.0,2023-01,-2958.16,3750.0,1713.8429000000003
121858569.0,2023-02,-3477.4700000000003,3750.0,1986.3826500000007
121858569.0,2023-03,-3473.1799999999994,3750.0,2123.238550000001
121858569.0,2023-04,-3732.6399999999994,3750.0,2140.603450000002
121858569.0,2023-05,-3990.58,3750.0,1900.017350000002
121858569.0,2023-06,-3734.06,3750.0,1915.961050000002
121858569.0,2023-07,-4369.72,3750.0,1296.239800000002
121858569.0,2023-08,-5080.119999999999,3750.0,-33.87384999999778
121858569.0,2023-09,-2000.55,3750.0,1715.5711500000025
121858569.0,2023-10,-3500.2499999999995,3750.0,1965.3161500000024
121858569.0,2023-11,-3769.88,3750.0,1945.4311500000024
121858569.0,2023-12,-820.64,0.0,1900.791150000002
122884111.0,2023-01,-1896.33,760.0,-811.3402830729719
122884111.0,2023-02,-1613.23,1580.0,-844.574583072972
122884111.0,2023-03,-1556.27,0.0,-2400.841083072972
122884111.0,2023-04,-2800.33,2160.0,-3103.1335830729718
122884111.0,2023-05,-2005.7300000000002,3840.0,-1268.8660830729712
